,BONDS,VOO,SMH,IWF,QQQ,NFLX,TTD,EA,LYV,OMC,NXST,WMG,NVR,BKNG,TSLA,HD,DPZ,DECK,WSM,CVCO,ULTA,CHWY,AMZN,WING,CROX,SONO,MNST,KO,GPC,POST,CHD,COST,LLY,REGN,HCA,IDXX,WST,ABBV,HALO,MEDP,DXCM,MOH,GWW,URI,ODFL,LMT,ITW,PH,LII,CSL,POWL,NVDA,MSFT,ADBE,NOW,KLAC,MPWR,FTNT,MANH,TYL,PLTR,FICO,ADP,FI,EPAM,PANW,NTAP,APPF,CDNS,MSI,LSCC,ADSK,VST,AWR,WTS,CEG,NEE,ENPH,FSLR,SEDG
BONDS,1.3280788448417757e-05,2.1828302356726523e-20,-4.2486620339637044e-21,2.7652175065658295e-20,9.855189492591676e-21,-7.043796169684754e-20,1.840205460473429e-19,-8.41821821031584e-20,2.6279703892284896e-19,-7.458366750935925e-20,2.4618996191198065e-19,2.5854642026065625e-19,1.5629539450466346e-20,1.5072668424798338e-19,4.310641823415381e-19,-7.517402885044702e-20,-1.5850470009705357e-19,-4.281065341783439e-20,1.3281164722415415e-20,1.151043235119727e-19,2.175838702220334e-19,2.0084503046182344e-19,7.143005007892152e-20,2.87672340546443e-19,3.971244060830349e-19,3.555835215805025e-20,2.77215285178976e-19,6.760491981808723e-22,3.9612329024746397e-20,6.665018686309389e-20,-8.084749898805754e-20,-1.1059019490243104e-19,-1.22868279532898e-19,-1.3851400203865505e-20,-2.0741959843746416e-19,-1.042762877847913e-20,-6.962311567566925e-20,-1.393037459588567e-19,3.6108317692260826e-19,1.643422021966e-19,-1.2197409131649496e-19,1.3254689888848465e-20,-3.3603554022105203e-20,9.804780504708508e-20,1.4205244225070898e-19,-3.685751867442767e-20,1.8444340452005348e-19,1.1108051503597552e-19,3.43778403106972e-20,1.0713480934353397e-19,7.717109197824326e-19,-5.980164469403514e-20,-6.37651352366866e-20,-1.8437831143313626e-19,-2.7734713810895864e-20,-7.022072587302776e-20,2.1284630856461588e-19,5.496676856684938e-20,2.55283404462439e-19,-2.398442252427561e-19,4.056647442008614e-19,1.099550771977805e-19,-2.483082404088487e-21,3.766092624949897e-21,-1.6882062051137147e-19,-1.5731480211505627e-19,-2.5579346791951145e-19,3.179378991235326e-19,-1.0181649089378213e-20,-1.6470840074533721e-19,1.5748474896199838e-19,-7.910994571949463e-20,2.6943256363838324e-20,-3.3684704299753016e-20,1.9306377639949836e-19,1.0273435503271517e-19,-1.856116018785235e-20,-1.439953555509153e-19,-1.4922984134930987e-19,-3.288793143944136e-19
VOO,2.1828302356726523e-20,0.00013874549943229534,0.0002113707903300357,0.00015418463676101685,0.00015973370730110154,0.00017074631395578424,0.0002532517675913963,6.669550342805698e-05,0.00014202955341003533,0.00010431038114909037,0.00011679936854150519,0.00010621359750232575,0.0001111562399849344,0.0001380490004072002,0.0002559229170220517,0.00010726705024372548,9.072595901330708e-05,0.00016482128503072857,0.0001812118049705829,0.00015855013112426876,0.00011279369482337547,0.00021169738003444462,0.00019480622721023858,0.00016390912111914865,0.00020544312063090536,0.00018100294806628204,7.55053601712304e-05,3.9173465235006856e-05,8.872489691108688e-05,4.6039411513567835e-05,2.9928415831154844e-05,9.906468808702713e-05,7.581178739949513e-05,7.544413553689675e-05,9.022207350056664e-05,0.00015061715131374338,0.00011436476928918379,4.3636520203205355e-05,9.446948738161028e-05,0.00015143757728565294,0.0001436583793850182,4.933423679633738e-05,9.742255852858713e-05,0.00017571853862229764,0.00015503189242366085,3.01228445495477e-05,0.00010450140152233515,0.00015290710441375925,0.0001400020554695091,0.0001185869763835016,0.00014345845251051854,0.0002725614893971796,0.0001456975691596019,0.00016486585544961952,0.00019386821085681653,0.00021781608734524675,0.0002731173237040325,0.00016960716172270283,0.00016515043423681995,0.00013218987619657472,0.0002698501058846431,0.00014596492944117572,9.634436967482506e-05,0.0001046745416222618,0.0001824831165766304,0.00015521615337859006,0.00013941625518456828,0.0001301100557630123,0.00017626179327697163,9.684769176254704e-05,0.00025615682138257866,0.0001748953831695304,0.00016140009192769212,4.500594919405138e-05,0.00013193016575271406,0.0001512539629273815,7.331787435846027e-05,0.00018192636787348727,0.00013010558478824492,0.00021687087957246692
SMH,-4.2486620339637044e-21,0.0002113707903300357,0.0005259351693700632,0.0002812473674069744,0.0003019394056755785,0.0003090165229213017,0.0004690459831379513,0.00010598887069491778,0.00023554384572294668,0.0001637884293976695,0.00017323651925079997,0.0001764869637440081,0.00016738550304372702,0.00024429188613807334,0.0004692121366539741,0.0001517783371264397,0.00013751910719384813,0.000301553126996442,0.0003227330190554196,0.0002546321436957831,0.00018149532065574165,0.0003490524415160572,0.0003331010293900035,0.00029495569900693297,0.0003641403074534269,0.00033722581306414826,9.102217209896192e-05,1.401891596981327e-05,0.00011510041472509516,3.084905541309301e-05,6.811736424369047e-07,0.0001502328809460884,0.00010320951217784973,0.00010142886321837167,0.00011431938616200142,0.00025214011103557855,0.0001713287930616263,3.1612189892482315e-05,0.00013486181498254294,0.00023161910818050155,0.0002419547385860996,1.6259131537379728e-05,0.0001328803984458293,0.0003079511596863827,0.0002567900578608485,4.9739667238649585e-06,0.00015022038529330557,0.0002610769954008745,0.00023884709227436348,0.00019210910146089978,0.0003200308638739109,0.0006736212974929951,0.000253272014141529,0.0002920818013034916,0.0003488642783193264,0.0005398454643449362,0.0006636375058063721,0.00028117525557793343,0.00028545727280012486,0.00021514231925906158,0.0005139062287356438,0.00024765035650848276,0.00012410260876084532,0.00014101331353608417,0.0003244496453191362,0.0002743433084840853,0.00028511484608219573,0.0002164646909520807,0.0003821580190076793,0.0001446552047815976,0.0005931343463578488,0.00031012462505260896,0.0003448895640884038,1.3029653311822724e-05,0.0002102724854634317,0.0003031567460821405,7.338462531507526e-05,0.00034197736560453827,0.00027219692995127153,0.0004125406168303241
IWF,2.7652175065658295e-20,0.00015418463676101685,0.0002812473674069744,0.00021497645731476198,0.0002092525765829165,0.00023524786523570693,0.0003451559257664363,7.672782979891822e-05,0.0001788368801715882,0.00011435701958404911,0.00012780157057726036,0.00013308366888784262,0.00012856491754395134,0.00017196329568783695,0.0003476435375737357,0.0001225251317474809,0.00010759352064071488,0.00021190576868198167,0.0002226611186590802,0.00018596950159685497,0.00013820596061052054,0.0002793934959426717,0.00026299202465609117,0.0002162813404422371,0.0002541337011023254,0.00023273945014298114,8.650663157228828e-05,3.377152125433743e-05,9.236855077341973e-05,4.147971923897496e-05,2.29433802948439e-05,0.0001227591852547287,9.035320034986356e-05,8.024487870527991e-05,9.383082877301797e-05,0.0001834512357852898,0.00013748808353420907,3.5686160237804264e-05,0.00010497327713213649,0.000179032703277932,0.00018174942162730174,4.444877437423906e-05,0.00010788718542232495,0.000202026716217003,0.00018178164490985642,2.0430746632695356e-05,0.00011176625980800854,0.00017608585061427458,0.00016549762509566698,0.00013467961968585974,0.00017795317802435506,0.0003818670798182699,0.00019669999953612666,0.00021697512131066478,0.0002624798357374893,0.0002858801113507411,0.0003636815227331835,0.0002202963194361275,0.00021330447085641933,0.00016978612075876497,0.00036943983198498253,0.00018521752622382813,0.00010832358563894209,0.00011853278463964352,0.00022680595687432108,0.00021067205198413395,0.00017299816729058752,0.00016761289616448152,0.00023734400305743688,0.00011373976628795742,0.00033047271552312193,0.00022504694755796318,0.00020708145743471995,3.648781848801773e-05,0.00014984725440384073,0.00019318722732101942,7.256872208503726e-05,0.00022264317667982264,0.0001670199006106154,0.0002585102429400845
QQQ,9.855189492591676e-21,0.00015973370730110154,0.0003019394056755785,0.0002092525765829165,0.00023469698861036374,0.0002532439941106224,0.0003619815620885704,8.304113911253858e-05,0.0001860694785245614,0.00012051535349442302,0.00013460911044557797,0.00013935284287166548,0.00013274488338378993,0.00017903419400514112,0.0003691574820008279,0.00012476367550667041,0.00011062301175960985,0.00021545603475698678,0.0002294927439680056,0.00019269140994998898,0.0001405287179616753,0.00029262247551172264,0.00027552176424169313,0.00022209975953862862,0.0002622026713482036,0.00024082726785959436,9.111232184022764e-05,3.36273751669908e-05,9.474136625855837e-05,4.040978328023079e-05,2.3074757189066082e-05,0.00012823896384490702,8.326063356366834e-05,8.271834025233796e-05,9.560735541326243e-05,0.00019221388627429158,0.00014158211731347712,3.300127005886841e-05,0.00010612566678254363,0.00018721463918350224,0.00019081882801529545,4.210699368450577e-05,0.00011026483944371165,0.0002075104073961195,0.00019034616179991733,1.877147840575586e-05,0.00011575426986375382,0.0001797636516141826,0.0001712735194896536,0.00013546507851963616,0.00018455083571204925,0.00040252181747838444,0.00020508507844968496,0.000230131974876726,0.00027054497101053695,0.000308697309023689,0.00038963147136084227,0.0002269503758579423,0.00022032440436202166,0.0001774831863224232,0.0003859662191789509,0.000190226765600585,0.00011279053380984763,0.00012276200696315615,0.0002378565728221694,0.00021866093825594318,0.00018157617093194194,0.00017086879009985684,0.0002500399840541787,0.00011562102335049472,0.0003577135613274422,0.00023632843575531356,0.00020649517442689045,3.65914973606898e-05,0.00015497224751506272,0.00019482129142398423,7.517708467757053e-05,0.00024039759117890764,0.00017736199286747258,0.0002802279267357442
NFLX,-7.043796169684754e-20,0.00017074631395578424,0.0003090165229213017,0.00023524786523570693,0.0002532439941106224,0.0009190610367860619,0.00047779470556342753,9.899129719051051e-05,0.0002435322215478653,9.528502879419695e-05,0.00013403525268609098,0.00020381819795945127,0.00012322962984679558,0.00021226635089876088,0.00041081709971700647,0.00011534893473719901,0.00014079975890362442,0.0002318712557697967,0.0002549251712767995,0.00020079318456060074,0.00014282322004428898,0.0004572064137687937,0.0003397635158899303,0.0002862214442926983,0.00033251434501035336,0.000275645406414839,8.482991290592704e-05,3.0675695765069426e-05,4.0612740494487834e-05,2.2467658175482333e-05,2.1197462316301802e-05,0.0001429571569282209,8.64578609278027e-05,5.534530190029361e-05,7.895047465655367e-05,0.00021345141442538016,0.00013936370775688697,2.0120459718226432e-05,0.00010845002470009788,0.00020896234400969902,0.00024611164843778657,2.097114352404488e-05,8.263974791011576e-05,0.00021780818487313736,0.00017653031284808543,1.4955376171293433e-05,9.906597808904377e-05,0.00016827920122034894,0.00017262362519402036,0.00010530338363562058,0.00016777536040727732,0.0004496344114452024,0.00021659984501593084,0.00027651281635683773,0.0003652523333530247,0.00029936603538447185,0.0003831445037199478,0.0002854189499959754,0.00025357495355024404,0.00023672042320273403,0.0005369780170384416,0.00020880347956003675,0.00011574364058798853,0.00015035863150797136,0.00027550989888661955,0.00026360032759303664,0.000177814527105659,0.00021947352904816878,0.00025996928983173037,0.00012040236806683792,0.000364665651213574,0.0002912687015405289,0.0001594069661665983,2.0572112637780022e-05,0.00012560200787932674,0.00018165484900829385,7.449215833036084e-05,0.00032093308562029544,0.0001887420542270815,0.0003040650764949008
TTD,1.840205460473429e-19,0.0002532517675913963,0.0004690459831379513,0.0003451559257664363,0.0003619815620885704,0.00047779470556342753,0.0019071962190860695,0.00014121919063723532,0.0003623780058995131,0.0002480097480480977,0.0003040353849832644,0.0002802370741290954,0.00026184400967341236,0.0003482129431236389,0.0006509997729491456,0.00022697304290939557,0.00021214217285681818,0.0004203166923360175,0.00048580394388967864,0.000401006226605072,0.00030524441029186725,0.0006855643890352197,0.0005116556450870805,0.0004642724794690896,0.0004983624892787414,0.0005298286614004124,0.00011226726189914278,3.186484116275175e-05,0.00015433284211733604,6.644013860623257e-07,2.357900633072213e-05,0.0001927287015328459,0.00011597565889113185,0.0001061777620247533,0.00013816075766695909,0.00035575212008770213,0.00045318594790168655,1.7100710411941102e-05,0.00020055031385550606,0.00036385840721020777,0.00038274664997735026,8.624315856997018e-05,0.0001580371255741416,0.0003708581883374191,0.00033366360685085683,1.1878057687149901e-05,0.0001892638916847753,0.0003007281614645603,0.00031749529766259227,0.00022953381511020148,0.00025113114455689275,0.0006221234870431866,0.00031445796266404063,0.00040001944210272335,0.0005461889907228026,0.0004920672211434733,0.0006721653484510133,0.00044746654413731175,0.0004075813706398655,0.00035256430791780327,0.0007959767492906224,0.0003704057107792318,0.000187948989146183,0.00019413561609771962,0.0004927081382509287,0.0004242241513460533,0.00029315507486674667,0.00040536299709492126,0.00041881252392607685,0.00016028300103798195,0.000623570807805117,0.00045728816172469736,0.00028177199253135376,4.537255664466007e-05,0.000262713815916541,0.00029454025700817454,0.0001160304395667374,0.0005077650682027162,0.0003758423187581883,0.0005565319147529385
EA,-8.41821821031584e-20,6.669550342805698e-05,0.00010598887069491778,7.672782979891822e-05,8.304113911253858e-05,9.899129719051051e-05,0.00014121919063723532,0.00026586911999300643,8.299160397692142e-05,6.661304459560312e-05,7.330914741874866e-05,6.712628800743137e-05,6.791426126626843e-05,6.906856534987984e-05,0.00011409832953206286,5.9545487626536955e-05,5.27425391567357e-05,6.066579043375125e-05,8.034839746243727e-05,9.039451798078763e-05,5.315578567281323e-05,0.00010757390617661313,8.565018875961088e-05,7.286795260121394e-05,0.0001094431690669694,8.953018306102096e-05,6.424528972882653e-05,3.7172294167587874e-05,5.3108343051592504e-05,2.688747519517474e-05,3.1232107805836315e-05,5.178379123685834e-05,3.844761390983725e-05,5.257813685169529e-05,4.4328000000486156e-05,0.00010279290651059764,8.037552034126933e-05,3.740636685412784e-05,6.001516682899822e-05,0.00010572359393857369,6.471618336688665e-05,4.6441600839823944e-05,4.554769511627313e-05,6.866409213658263e-05,6.543464419326925e-05,2.5322121954297805e-05,6.682727137638647e-05,7.675331485096678e-05,6.211825528319967e-05,5.2911423454011075e-05,5.0188594970120095e-05,0.00011949289173208527,7.608402635537051e-05,0.0001066806734293216,0.0001013764979923045,0.00011786386335639386,0.00012692781082895938,9.967294381050018e-05,6.874205145394058e-05,8.294933820548843e-05,0.00013634385580100323,8.244519139835902e-05,6.658010753944411e-05,7.550583610105046e-05,6.929251276464167e-05,9.323983777827067e-05,6.897783938558465e-05,7.846677020310627e-05,8.592539827251473e-05,6.721178956894024e-05,0.00012734625077937307,0.00010541165207662018,4.806533384398698e-05,4.4536156050673545e-05,6.774960371772832e-05,5.7074005768723596e-05,5.939514769863061e-05,0.00012325798673295851,6.990216870123935e-05,0.00014400670839586442
LYV,2.6279703892284896e-19,0.00014202955341003533,0.00023554384572294668,0.0001788368801715882,0.0001860694785245614,0.0002435322215478653,0.0003623780058995131,8.299160397692142e-05,0.0004671758426857911,0.00014759763063996366,0.00019702226787970034,0.00018359082354761673,0.00013710685645538552,0.00021830582266049598,0.00034514288232410196,0.0001252422662768208,0.00012032903114026396,0.00020213303168066602,0.00024487438175124597,0.00021840892714388395,0.00015804106841070897,0.00028493778633695467,0.0002314260475965098,0.00021803684612439503,0.00028302534044466227,0.00024840438982456003,9.786669051834696e-05,2.9359338938078885e-05,0.00011339263607521079,4.948690106363544e-05,1.3495354598702227e-05,0.00010490666707685819,6.107280392475553e-05,7.022361492543339e-05,0.00010213849990491799,0.00019252036361182889,0.00011246420370864446,3.055814066563104e-05,0.0001284068913969304,0.0001782127681845833,0.00019856595422126138,7.187560804001023e-05,0.00010660344156183245,0.00022797163512202186,0.00017273300814256922,1.2657718715970641e-05,0.00011003854933459559,0.00018386591223003743,0.0001665813469532769,0.00015418657952799938,0.00017136626567438315,0.00031203630996747857,0.00015971790219677654,0.00020720342457119118,0.0002634001249176441,0.00024389894047148532,0.00030228482816413465,0.00023287439193622135,0.0002171851641812803,0.00018423166301636596,0.00035744393422492186,0.00019628946543777964,0.00011622604959087479,0.00013321810339747453,0.00024593318021825215,0.00020752390919159835,0.00015014365837597685,0.00018138108129976013,0.0002009295486347963,0.00010357459923348779,0.00032212143004825734,0.0002517380242760317,0.0001742614378749392,4.521120732637608e-05,0.00016390971746951994,0.00013296921469995942,5.4912008554925715e-05,0.00024403884457589313,0.00013104757013925874,0.00025686725949633656
OMC,-7.458366750935925e-20,0.00010431038114909037,0.0001637884293976695,0.00011435701958404911,0.00012051535349442302,9.528502879419695e-05,0.0002480097480480977,6.661304459560312e-05,0.00014759763063996366,0.0003178424110445443,0.00017387737876847903,0.00012813201205670813,0.0001339279140138894,0.00014876777802735528,0.0001812845647048937,0.00011554092195947942,8.641761744934336e-05,0.0001596763703969514,0.00018955070695946734,0.0001987157586715349,0.0001315360201508824,0.00018552684403458982,0.00013204556451993643,0.00013020186678064157,0.00023009643557619737,0.00016269793838034698,7.68480120370898e-05,3.7541175795919114e-05,0.00011954057855602677,6.211646830153946e-05,4.0051221711855126e-05,7.375742742127515e-05,4.8288413153579175e-05,7.0491883977242e-05,0.00010687340372570854,0.00013447282822495445,9.852024925905697e-05,5.6297942021874704e-05,0.00011018574958547831,0.00015834914048872012,0.00012859269701568084,6.150825849940822e-05,0.00010868480510325661,0.0002089356205787813,0.00017317597040643717,2.568192967495408e-05,0.0001291632720567068,0.00016749218387049995,0.00016088033368604816,0.0001419255527951767,0.00011956518704127271,0.00017254883199122826,9.22210293526674e-05,0.00013750150763811012,0.00014740800843566972,0.00018103403547699079,0.00023398213709132845,0.00013899252244637043,0.00015112210358805137,0.00012480298827563567,0.0001915235825932419,0.0001331539781570569,9.14833066225688e-05,9.600297880397649e-05,0.00018776235961472123,0.0001262646548911761,0.00013087516084430255,0.000126783082061083,0.00012179341854377446,8.183539943172307e-05,0.00024532698545602096,0.00015401335716589041,8.732015635320536e-05,5.700362037465599e-05,0.00014736328258767824,7.768723346497701e-05,6.706811072697509e-05,0.00019276693618826648,0.00012098186291489309,0.00023768739538167265
