,weight,mu_annual,contrib_return,asset_vol_annual,marg_risk,risk_contrib,risk_contrib_pct,label
BONDS,0.0729824317201874,0.0425,0.0031017533481079644,0.05442139696488325,0.0012793722422970413,9.337169731814687e-05,0.000552655474508543,Strong
VOO,0.10947371439301196,0.0308900590809116,0.003381649505406982,0.18606847206370777,0.16673639315359148,0.01825325228301723,0.10803873220193104,Strong
SMH,0.03649123680460345,0.0642652159638402,0.002345117214035475,0.3636672778338689,0.2822709168090788,0.010300414868332615,0.06096687572570082,Strong
IWF,0.018245618147764424,0.0382923787182879,0.0006986681200634619,0.23205207868710592,0.19831963258129223,0.003618464287283198,0.021417240503478104,Strong
QQQ,0.018245619235222724,0.038065422576202,0.0006945272063532325,0.24251894120884662,0.20411051975916192,0.0037241228254290726,0.02204262026214228,Strong
WMG,0.03649242365584005,-0.00229342400208,-8.369260030637556e-05,0.3484342187229624,0.16939152986197123,0.0061815074714339354,0.036587574639060094,Risky
NXST,3.1796635609512376e-07,0.0285982516558236,9.09328186969357e-09,0.34953986782683544,0.16875610783431821,5.365876467687393e-08,3.1759956074265957e-07,Weak
NFLX,0.0,0.0502222334107769,0.0,0.4815073807738311,0.2166761351227271,0.0,0.0,Weak
CABO,1.72998721128719e-07,-0.1413652679904162,-2.445601057436064e-08,0.5369504688540745,0.1443202365155141,2.4967216350178194e-08,1.4777785127060636e-07,Weak
TTD,0.0,-0.0005026024840467,-0.0,0.6935850375945698,0.34834717554746525,0.0,0.0,Weak
EA,0.0,0.0259291950245408,0.0,0.25848138234351814,0.08650612950478738,0.0,0.0,Weak
OMC,3.4608475770226817e-07,0.0134583650651935,4.657735012656163e-09,0.2825652358595473,0.1583943260283711,5.481786194494288e-08,3.2446011344851365e-07,Weak
NYT,0.03649254678955295,0.0258355244194555,0.0009428040837096177,0.297174790323252,0.1491408482125396,0.0054425293816297154,0.03221365514736852,Strong
FOXA,5.969338911593314e-07,0.032698323221037,1.951873731471914e-08,0.27268657408984254,0.1333860835561842,7.962267388369674e-08,4.7127671318748964e-07,Weak
CNK,0.03649258367533115,0.0359785075277711,0.0013129486964707183,0.4240436710637488,0.18499018047061166,0.006750769639938406,0.039956966680661725,Strong
LYV,0.0,0.0252391474688809,0.0,0.3429420358104675,0.19839062571715133,0.0,0.0,Weak
NVR,0.0,0.0278591536316651,0.0,0.283489432661498,0.1720546120259277,0.0,0.0,Weak
BKNG,8.126892451075543e-07,0.0543689174147344,4.418503445109546e-08,0.31821828131301383,0.1904456432611731,1.5477312605594535e-07,9.16082901761656e-07,Weak
HRB,0.03649222606465495,0.0656031790417376,0.002394006040151122,0.3055447264883477,0.11781979529942643,0.00429950660495804,0.02544824535875599,Strong
TSLA,0.0,0.0250060366152235,0.0,0.6195591812847437,0.31966946602328383,0.0,0.0,Weak
HD,0.036492472071898346,0.0150993281714703,0.0005510118116018079,0.24756193004382884,0.16759433762307727,0.00611593168511845,0.03619943970799022,Weak
