asset,weight
BONDS,0.1
VOO,0.15
SMH,0.05
IWF,0.025
QQQ,0.025
NFLX,0.030000009857574617
TTD,0.0
EA,0.0
LYV,0.0
OMC,0.0
NXST,0.0
WMG,0.0
NVR,0.0300000172265288
BKNG,0.0
TSLA,0.0
HD,0.0
DPZ,0.0
DECK,0.0
WSM,0.030000016734745623
CVCO,0.0
ULTA,0.0
CHWY,0.0
AMZN,0.0
WING,0.0
CROX,0.0
SONO,0.0
MNST,0.0
KO,0.0
GPC,0.0
POST,0.0
CHD,0.0
COST,0.03000001777723349
LLY,0.030000017393551424
REGN,0.0
HCA,0.03000001767122
IDXX,0.0
WST,0.0
ABBV,0.0
HALO,0.030000019006775583
MEDP,0.030000017765204137
DXCM,0.0
MOH,0.0
GWW,0.030000018548082683
URI,0.030000025632488533
ODFL,0.0
LMT,0.0
ITW,0.0
PH,0.0
LII,0.0
CSL,0.0
POWL,0.0300000576122911
NVDA,0.054999882295782315
MSFT,0.030000010413866643
ADBE,0.0
NOW,0.0
KLAC,0.030000011693965847
MPWR,0.03000001015142693
FTNT,0.0
MANH,0.0
TYL,0.0
PLTR,0.03000005523304354
FICO,0.03000001067854117
ADP,0.0
FI,0.0
EPAM,0.0
PANW,0.0
NTAP,0.0
APPF,0.0
CDNS,0.0
MSI,0.0
LSCC,0.0
ADSK,0.0
VST,0.040000245035660964
AWR,0.0
WTS,0.0
CEG,0.04499952643412465
NEE,0.0
ENPH,0.0
FSLR,0.03000001283789184
SEDG,0.0
