Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
AAMI,"Acadian Asset Management Inc",1659886000,15.1,3.07,85000000,1.39,0.04,0.09%,2025-10-30
AAP,"Advance Auto Parts Inc",3222395000,0,-0.75,-335790000.,1.08,1,1.86%,2025-10-30
AAT,"American Assets Trust",1189426000,8.46,1.16,72820000,1.23,1.355,6.97%,2025-10-28
ABCB,"Ameris Bancorp",4856645000,12.58,5.63,358690000,0.94,0.8,1.13%,2025-10-27
ABG,"Asbury Automotive Group Inc",4792170000,8.75,27.86,430300000,0.85,0.00,0.00%,2025-10-28
ABM,"ABM Industries Inc",2759204000,13.06,3.45,81400000,0.78,1.06,2.35%,2025-09-05
ABR,"Arbor Realty Trust",2238384000,8.95,1.3,264640000,1.37,1.46,12.54%,2025-11-07
ACA,"Arcosa Inc",4572955000,29.79,3.13,93700000,0.98,0.2,0.21%,2025-10-30
ACAD,"Acadia Pharmaceutica",3524394000,32.64,0.64,226450000,0.75,0.00,0.00%,2025-11-05
ACHC,"Acadia Healthcr Company",2231565000,8.69,2.78,255610000,0.9,0.00,0.00%,2025-10-29
ACIW,"Aci Worldwide Inc",5030610000,19.19,2.54,203120000,1.05,0.00,0.00%,2025-11-06
ACLS,"Axcelis Tech Inc",2604007000,16.38,5.06,200990000,1.75,0.00,0.00%,2025-11-05
ACMR,"Acm Research Inc",2252183000,24.09,1.58,103630000,1.42,0.00,0.00%,2025-11-05
ACT,"Enact Holdings Inc",5240888000,7.9,4.5,688070000,0.57,0.79,2.22%,2025-11-05
ADAM,"Adamas Trust Inc",621360000,18.59,0.37,-62030000.,1.34,0.83,12.06%,2025-10-29
ADEA,"Adeia Inc",1811151000,15.62,1.06,64620000,1.74,0.2,1.21%,2025-11-03
ADMA,"Adma Biologics",3426741000,24.76,0.58,197670000,0.47,0.00,0.00%,2025-11-06
ADNT,"Adient Plc",1854034000,10.92,2.09,18000000,1.77,0.00,0.00%,2025-11-05
ADUS,"Addus Homecare Corp",2180689000,23.47,5.04,73600000,0.86,0.00,0.00%,2025-11-03
AEIS,"Advanced Energy",7241486000,48.36,3.97,54210000,1.55,0.4,0.21%,2025-11-04
AEO,"American Eagle Outfitters",2531618000,12.67,1.18,329380000,1.6,0.5,3.34%,2025-12-03
AESI,"Atlas Energy Solutions Inc Cl A",1267087000,31.03,0.33,59940000,1.16,0.99,9.67%,2025-11-03
AGO,"Assured Guaranty Ltd",3808724000,10.15,7.88,376000000,0.92,1.33,1.66%,2025-11-10
AGYS,"Agilysys Inc",3086973000,103.85,1.06,23230000,0.61,0.00,0.00%,2025-10-27
