asset,weight,mu_annual,return_contrib
VOO,0.15,0.1,0.015
SMH,0.05,0.25,0.0125
NVDA,0.054999797367239,0.205877431031339,0.011323216989211366
GWW,0.0435020347432098,0.1230427734941821,0.005352611007444804
LLY,0.0414964172947254,0.1203322608564388,0.004993357710516535
BONDS,0.1,0.0425,0.00425
QQQ,0.025,0.17,0.00425
IWF,0.025,0.17,0.00425
REGN,0.0300011362264698,0.1146285241162501,0.0034389859674507977
DECK,0.0300000367162773,0.0831743702242556,0.002495234160580909
TSLA,0.0300000382133649,0.0805169221156233,0.002415510740291224
SNPS,0.0300000315443651,0.0699776113103295,0.0020993305467092048
FTNT,0.0300000312397265,0.0684132485020217,0.002052399592271823
CSL,0.0300000596651318,0.0630564006731205,0.001891695782462072
IDXX,0.0300000570445655,0.0605233307856548,0.0018157033760967513
ULTA,0.0300000505631,0.0605115050209607,0.0018153482102781005
DDOG,0.0300000287986418,0.0562524305798243,0.0016875745373883277
FI,0.0300000282592316,0.0533311359643928,0.0015999355860287067
TTD,0.0300000428922158,0.0500173402153084,0.0015005223518138023
LMT,0.0300000474824507,0.0499166548742017,0.001497502016391155
WST,0.0300000387106153,0.0221836096454186,0.000665509148103737
AWR,0.0300000369647674,0.020007318770945,0.0006002203026942346
PLTR,1.0974493819702066e-09,0.2167967036425118,2.379234084256526e-10
CEG,1.118994573192878e-09,0.1831158331758285,2.0490562358944446e-10
KLAC,1.064878878531605e-09,0.1539060558736366,1.6389130817794068e-10
MSFT,1.0586160359159882e-09,0.1411010832098129,1.4937186937102414e-10
MPWR,1.0524617501160415e-09,0.1356748629787934,1.4279260373741501e-10
HALO,1.0871749610729056e-09,0.1309258622594708,1.4233931920537677e-10
MEDP,1.083210881695908e-09,0.1276911409218132,1.383164333426737e-10
HCA,1.0814857130240971e-09,0.1228630559840672,1.3287463970524848e-10
DXCM,1.080218115732906e-09,0.1191362839534371,1.2869317216760227e-10
LULU,1.0868937949607284e-09,0.1107604363198816,1.203848309632222e-10
FSLR,1.0729752766873615e-09,0.1073431918877693,1.151765910162838e-10
CDNS,1.0439112498865616e-09,0.1083230657183698,1.1307966692560758e-10
CVCO,1.062034978100686e-09,0.0992742676026213,1.0543274461931155e-10
PANW,1.0373138988062926e-09,0.1004557566705702,1.0420415260948541e-10
MOH,1.0688275292162938e-09,0.096842565736243,1.0350800025883512e-10
AAPL,1.0330060096191366e-09,0.0949938810258828,9.812924997678221e-11
APPF,1.0232578382872664e-09,0.092543870717381,9.469624109700354e-11
NOW,1.0257341580347823e-09,0.0875451688942425,8.979807010574864e-11
NFLX,1.0572523186334507e-09,0.0784388987480865,8.292970757246893e-11
MANH,1.016046391467974e-09,0.0726026328914984,7.376764316048098e-11
LYV,1.0343152605563036e-09,0.0502820361855793,5.2007477358588936e-11
NVR,3.3369911870839966e-10,0.1222652141060721,4.079979419589006e-11
BKNG,3.3223559287057784e-10,0.0901909015575508,2.996462765050481e-11
FICO,1.7924419122931286e-10,0.1337911563988905,2.3981287622353633e-11
ADBE,1.6551257663113138e-10,0.027156142153574,4.494683059199313e-12
LII,2.965302905096586e-11,0.1179846744584883,3.4986029792863035e-12
POWL,1.609403431802993e-11,0.2104476421299305,3.3869515745875825e-12
WSM,2.2429098791125952e-11,0.1365961007624619,3.063727438483853e-12
URI,1.6086402850434676e-11,0.1446931925046427,2.3275929843451775e-12
VST,1.1938653818006256e-11,0.1802067097311799,2.151425523162496e-12
DPZ,1.8725201401354197e-11,0.1055634018107625,1.976695959518606e-12
WTS,1.6083317481076324e-11,0.1182427251129076,1.901735287818529e-12
ODFL,1.608268488723544e-11,0.1150981822206755,1.8510877957487286e-12
TYL,4.2506897148995225e-11,0.0435124973929987,1.8495812513801187e-12
PH,1.608284297031416e-11,0.1147427283074219,1.845389281353688e-12
EA,2.6918494662178478e-11,0.0535283360433833,1.4409022280591091e-12
ABBV,1.0990414657926924e-11,0.1148166853267135,1.2618829813892953e-12
NTAP,1.7671978174510184e-11,0.0700534276391887,1.2379826442893713e-12
ITW,1.206991681705558e-11,0.0969040241413639,1.169623510624208e-12
ADP,1.4399166346843687e-11,0.066795040200724,9.617928949943363e-13
HD,1.326592373348978e-11,0.0566263362356199,7.512006578086823e-13
NXST,8.14152820516802e-12,0.068725158525815,5.595278165425662e-13
NEE,1.1796892466314839e-11,0.0448515608262967,5.291090400142013e-13
OMC,8.958922751750231e-12,0.0466301689777913,4.1775608177309227e-13
WMG,1.3601766208948036e-11,0.0192396984310635,2.6169387998999005e-13
EPAM,0.0300000182860833,-0.0266341824958436,-0.0007990259619101878
ENPH,0.030000022666413,-0.0531725757686449,-0.0015951784782909095
SEDG,0.0300000216811577,-0.0618722749242573,-0.001856169589190269
