,BONDS,VOO,SMH,IWF,QQQ,NFLX,TTD,EA,LYV,OMC,NXST,WMG,NVR,BKNG,TSLA,HD,DPZ,DECK,LULU,WSM,CVCO,ULTA,LLY,REGN,HCA,IDXX,WST,ABBV,HALO,MEDP,DXCM,MOH,GWW,URI,ODFL,LMT,ITW,PH,LII,CSL,WTS,POWL,NVDA,MSFT,AAPL,ADBE,NOW,KLAC,SNPS,MPWR,FTNT,DDOG,MANH,TYL,PLTR,FICO,ADP,FI,EPAM,PANW,NTAP,APPF,CDNS,VST,AWR,CEG,NEE,ENPH,FSLR,SEDG
BONDS,1.4066769094742488e-05,1.5869762964568292e-20,1.563761240843591e-19,4.362251759471746e-20,5.77787313288225e-20,2.420786246332393e-19,9.530979456598544e-20,1.0559411290092104e-19,-7.373888368398814e-20,3.0766845518022877e-19,1.0684882596267067e-20,7.665912601170027e-20,1.8427395130838305e-19,1.730892977921521e-19,6.819410009347522e-20,1.441815240218818e-19,1.5150254867136046e-19,3.019052955098536e-19,-2.1951025595961064e-19,-1.3035512271942144e-19,9.072757043532826e-20,1.3084805168437925e-19,1.619083951059016e-19,-2.0435945236070128e-19,2.1039680596936812e-19,1.0688893743814825e-19,1.6982425921176937e-19,6.918172496997536e-20,-1.690616285788665e-19,-1.6144311764129025e-20,-2.1355010239179448e-19,-1.4083671983163354e-19,-6.94636720556755e-20,2.296763262940683e-19,2.2261992964970787e-19,-1.0944946286418653e-19,-1.851394157121294e-20,1.6464337141598279e-19,2.635311557661895e-19,2.1240152140706826e-21,-1.135342436128458e-21,3.082116661765878e-19,1.6194816224832484e-19,2.912644169126478e-20,-3.003639898144178e-20,1.3051143181010785e-19,1.4674928848823363e-19,2.8369200590706416e-19,4.354399521411521e-19,2.2858726060453904e-19,-1.3890302007958466e-19,2.2354998172825976e-19,-3.8514628733617637e-20,1.4922830341915212e-19,-8.758588668039795e-20,-1.783857412338647e-19,-1.0169871654950151e-19,5.927678442187495e-20,-4.079127637007195e-19,1.2879102077002112e-19,1.574540457732016e-19,6.696473156467171e-20,2.350190319905275e-19,-2.672766115567844e-20,-1.4153753512726717e-19,8.773888826143254e-20,-7.336078282776564e-20,4.0454232114954166e-19,1.6096159659172886e-19,4.715736417436191e-19
VOO,1.5869762964568292e-20,0.00013944395940248836,0.00021116961984900265,0.0001540574707924971,0.0001595921645661125,0.00017082139068769,0.0002529835328265973,6.674580850154666e-05,0.00014206299047988017,0.00010432167163952731,0.00011684454738682575,0.0001064339302536849,0.00011119043999659364,0.0001378650314742705,0.00025552423884084497,0.00010735268501272958,9.082082991657448e-05,0.00016441946749264736,0.0001650762821871948,0.0001810595569855518,0.00015866888078876556,0.00011272327099209533,7.584221311051992e-05,7.532231129501809e-05,8.972626903436441e-05,0.00015055659960712463,0.00011481937442150372,4.365915454019465e-05,9.456709100115979e-05,0.00015168208531634802,0.0001436568864503146,4.942827004881173e-05,9.734804816798039e-05,0.00017596802048313958,0.0001550361246799858,3.0102149500217386e-05,0.00010444355123585709,0.00015294300650911421,0.00013992069276542115,0.00011865172518302072,0.0001320772636190519,0.0001432535999116085,0.0002723621705795424,0.00014558261906712924,0.00015659592527924712,0.00016478118212520968,0.00019374562040533596,0.00021759416259067423,0.0001805025254645346,0.0002729059582560989,0.00016971268101527662,0.0002240915368278133,0.00016562451450583451,0.0001322314869799295,0.0002696959827978901,0.0001459091807717864,9.640169774724189e-05,0.00010458758550794171,0.00018231401734531235,0.0001551145223691612,0.00013941772690658356,0.00013004354188277882,0.00017612478846543706,0.00016161705582688876,4.503692789541046e-05,0.00015127993792786226,7.312261226904947e-05,0.00018179084135498577,0.00012986472477746888,0.00021691866823525825
SMH,1.563761240843591e-19,0.00021116961984900265,0.0005263295099810856,0.0002809674798911774,0.00030163304670910283,0.00030915571499763367,0.00046846518177292527,0.0001060810814894469,0.00023559067794555152,0.00016379197559992332,0.00017330410731843235,0.00017692927644295597,0.00016743263134677374,0.00024389216564501336,0.00046835727627211654,0.00015192968829377202,0.00013769765762171866,0.0003007003256877036,0.00027477744101607726,0.000322395494738429,0.0002548513913261055,0.00018132831087360902,0.00010325217955304274,0.00010115396965494088,0.00011325861962038512,0.00025199045832054087,0.00017225067727937604,3.163705462026358e-05,0.0001350420581550543,0.00023209731978194776,0.00024192990698204442,1.6422015411868508e-05,0.0001326985908132446,0.0003084491875334191,0.00025677381313939665,4.9090819269367405e-06,0.0001500743042838447,0.0002611301400074654,0.00023865755532617808,0.00019222322435566772,0.00021055456784582202,0.0003196120401220061,0.0006732463080070019,0.0002530136894184077,0.0002517005157903085,0.00029188600278917437,0.00034858818064694965,0.0005394157273464028,0.0003961161091994025,0.0006632330441846869,0.00028136787281481774,0.00042495535429250557,0.0002864232256953727,0.00021520637407537648,0.0005135671965170675,0.00024751294664220817,0.0001241932345022367,0.00014080290719376668,0.00032407605084515834,0.00027411292831969273,0.0002851161139561002,0.00021630546569098713,0.00038187815184524335,0.00034534516618803853,1.3063817690163186e-05,0.0003032062695963776,7.294773010584913e-05,0.0003416813678225615,0.00027169580888327256,0.00041262551047633065
IWF,4.362251759471746e-20,0.0001540574707924971,0.0002809674798911774,0.0002155838359791275,0.0002090542105830633,0.00023535153524637556,0.0003447860502620325,7.679125327465883e-05,0.00017887648907140597,0.00011436166911900779,0.0001278511353832852,0.00013338158259195915,0.0001286027988306089,0.00017170371746727008,0.0003470940862290941,0.00012263337161481482,0.00010771754510779915,0.00021134815975479225,0.00020775192252491683,0.00022244202147004972,0.00018612077008677052,0.00013810259237119276,9.038983161172407e-05,8.00685315699716e-05,9.313800582416099e-05,0.0001833588862617178,0.00013810522837664653,3.5708119075705125e-05,0.00010509808099473429,0.00017935805285503736,0.00018174102950654434,4.4568902171048476e-05,0.00010777485812193887,0.00020235469967718906,0.00018177548405865212,2.0394468372596958e-05,0.00011167468219524597,0.00017612223393532016,0.00016537549794603883,0.00013475788224790057,0.00015003739700197188,0.00017766435149240055,0.000381595939688546,0.00019654067597794453,0.0002009671341060516,0.0002168549982009289,0.0002623097919524135,0.00028557003046904386,0.00024190281344123804,0.0003633866308054547,0.00022043647730133072,0.00031585686982393135,0.00021395081638212932,0.0001698387262760544,0.0003692274841469547,0.00018513506089707317,0.00010839323612695519,0.00011840357959070941,0.00022656446232707526,0.00021053126024704898,0.00017299320906199761,0.00016751727725481175,0.00023715378221705706,0.00020737422485961823,3.652092164706203e-05,0.00019321738591982277,7.22896968240715e-05,0.0002224468359680378,0.00016668476225629373,0.00025856089987572024
QQQ,5.77787313288225e-20,0.0001595921645661125,0.00030163304670910283,0.0002090542105830633,0.00023526454223427848,0.00025335548488839287,0.00036157397496329734,8.310992236977758e-05,0.00018610948089651692,0.00012051904068534713,0.00013466153176351026,0.00013967540487190173,0.00013278337919116114,0.00017874848825497302,0.00036855563020869394,0.00012487828604882003,0.00011075557125806018,0.00021484302777935075,0.00021598380839166055,0.00022924954329405926,0.00019285262467260314,0.00014041256421652056,8.329474389671652e-05,8.252458043185679e-05,9.485058211501221e-05,0.0001921105512640124,0.0001422509876541584,3.302293823799609e-05,0.0001062585882789455,0.00018756594122463463,0.00019080744132487915,4.223545599876666e-05,0.00011013981665099825,0.00020786292406833187,0.00019033665166292977,1.8730629759419938e-05,0.00011565232755561357,0.00017979888720163418,0.00017113723214734835,0.0001355461320457027,0.000155176293735111,0.0001842330323217288,0.0004022216538702119,0.00020490816705055921,0.00021017716362261804,0.00022999885492980948,0.0002703540702254698,0.00030835883241346547,0.0002582044298470758,0.00038930799935854327,0.00022709804808606916,0.0003311259602041007,0.00022102384543607018,0.00017753783341891753,0.0003857287910082637,0.00019013260662292312,0.00011286440494851554,0.00012261902062337548,0.00023758980096391275,0.00021850348293810624,0.0001815682585185625,0.00017076018557308625,0.0002498296568488528,0.0002068068611279402,3.662627199075578e-05,0.0001948483019691054,7.487171963155577e-05,0.000240183005446071,0.00017699542075755824,0.0002802828389618202
NFLX,2.420786246332393e-19,0.00017082139068769,0.00030915571499763367,0.00023535153524637556,0.00025335548488839287,0.0009201879542223952,0.0004780041649572464,9.902659248538458e-05,0.00024362573860211043,9.532331417762414e-05,0.000134085877147812,0.00020388054029540345,0.0001232767470804803,0.0002123651902576766,0.000411011831909628,0.00011538875203641708,0.00014084808867373543,0.0002319959480231384,0.00026705084532732275,0.0002550389957594255,0.00020086421549179716,0.00014288617663848704,8.649033617885824e-05,5.537813572940478e-05,7.902281945669971e-05,0.00021354138110194555,0.00013938315415164637,2.012719841860583e-05,0.00010848597008847265,0.0002090261561721222,0.00024620898883438204,2.097302379015207e-05,8.2680043753443e-05,0.0002178758297767569,0.0001766010782126353,1.4963552935382882e-05,9.911112573553847e-05,0.00016834460574124654,0.00017269948838957816,0.00010534158869434493,0.0001256415193911119,0.00016785941877877134,0.00044982834051811543,0.00021669535056929802,0.0002170013911407381,0.00027662893722518354,0.0003654058552364114,0.0002995036557102723,0.00028211083733078226,0.000383314228618876,0.0002855233298649732,0.00041321468448785834,0.0002536376200667249,0.00023681040969998507,0.0005372011595541102,0.00020889115707967663,0.0001157857572199763,0.00015042551331632078,0.00027563294750001757,0.00026371264846566234,0.00017788596401819299,0.00021956561728681123,0.00026008370965793727,0.00015945462275030885,2.057895135956388e-05,0.00018172574861849352,7.453798980020317e-05,0.000321070547908189,0.00018883650828638318,0.0003041825410575096
TTD,9.530979456598544e-20,0.0002529835328265973,0.00046846518177292527,0.0003447860502620325,0.00036157397496329734,0.0004780041649572464,0.0019077154301877855,0.00014134017371311832,0.0003624602840640108,0.0002480278322969699,0.000304152905463381,0.00028082963955423625,0.00026192209944189937,0.00034770735032993883,0.0006499089817439398,0.00022718058203550286,0.00021238619720194757,0.000419223444423175,0.0004505519536823196,0.00048539211306589656,0.000401317084128063,0.0003050546195249849,0.0001160244648679566,0.00010581229828990197,0.00013678345542529456,0.0003555693397269097,0.0004544671775141473,1.7123981082780996e-05,0.0002007935766801943,0.00036450196982589894,0.0003827406909105403,8.647877171414737e-05,0.00015779637223537488,0.00037149258538918413,0.00033364314687937244,1.179595162745218e-05,0.00018907287971551732,0.00030078271955711033,0.0003172528214279928,0.00022967433500436192,0.00026307586009333096,0.00025052713577315,0.0006215432683988803,0.0003141181117031714,0.0003149213232225071,0.0003997740189169983,0.0005458669737177866,0.0004914323418813665,0.0004862205708133989,0.0006715706700826607,0.00044774731655081407,0.0008208142078393654,0.0004088466158442193,0.0003526751965918342,0.0007955868081056199,0.0003702464744102984,0.00018807673315641976,0.0001938674911452173,0.0004922517821859796,0.0004239517597369826,0.0002931277827668706,0.0004052040177064658,0.0004184213266253751,0.00028229977600128045,4.5427852704478605e-05,0.0002945673644417867,0.0001154726513932756,0.0005074061822805869,0.0003752022518494633,0.0005566502677252506
EA,1.0559411290092104e-19,6.674580850154666e-05,0.0001060810814894469,7.679125327465883e-05,8.310992236977758e-05,9.902659248538458e-05,0.00014134017371311832,0.00026674577098459326,8.302683309019632e-05,6.66433331802788e-05,7.333674838719961e-05,6.711808827670541e-05,6.794128473699721e-05,6.913852907726435e-05,0.00011423340545155088,5.9559571948721596e-05,5.2751187176572985e-05,6.077505431273118e-05,7.47204227003687e-05,8.041951275068175e-05,9.041772155771675e-05,5.3196766653627155e-05,3.846175477400979e-05,5.262582298940068e-05,4.44431875230225e-05,0.0001028534733635026,8.032926273290127e-05,3.741938298666896e-05,6.002624519303866e-05,0.00010572880376790774,6.475074590960074e-05,4.644504402458252e-05,4.558561934594835e-05,6.865597075526416e-05,6.546943292069801e-05,2.5337694057793065e-05,6.687053285993824e-05,7.678636505093987e-05,6.21667548034494e-05,5.292777927498412e-05,6.775702409088755e-05,5.025547301460652e-05,0.00011959426881021127,7.614443259515732e-05,7.528507002198317e-05,0.00010674832034691795,0.00010145116559305979,0.00011796478791358343,8.581675293111548e-05,0.00012703408313155266,9.970301382706761e-05,0.00010505815509795441,6.869144877868014e-05,8.298208587676937e-05,0.0001364429686132036,8.249707754340882e-05,6.660137199540168e-05,7.555788997570263e-05,6.936275772453103e-05,9.330517860523004e-05,6.90134732222686e-05,7.851776258263846e-05,8.599566335139449e-05,4.8054350326260695e-05,4.455031057359311e-05,5.7101342046527455e-05,5.945909581191023e-05,0.00012334259363332463,6.998255956301468e-05,0.00014406760398455112
LYV,-7.373888368398814e-20,0.00014206299047988017,0.00023559067794555152,0.00017887648907140597,0.00018610948089651692,0.00024362573860211043,0.0003624602840640108,8.302683309019632e-05,0.0004681300813051835,0.00014764904542910614,0.00019709699111218103,0.0001836870262856728,0.00013715744493154308,0.0002183527117979874,0.00034519895527008337,0.00012529618340563305,0.00012038354452844846,0.0002021398334562783,0.00020884638267063482,0.0002449337908385561,0.0002185001991777454,0.00015808378102965227,6.10960858795661e-05,7.022758904239607e-05,0.00010209766752909355,0.00019257541856818484,0.00011256824959037998,3.0570525566880266e-05,0.00012846464716016214,0.00017830811407386945,0.00019863253829867006,7.191400060872313e-05,0.00010662699102220639,0.00022808513106521166,0.00017279017545459115,1.2657840024501292e-05,0.00011006565780295911,0.0001839319242967715,0.0001666241194167195,0.00015424791800476757,0.00016398623275851816,0.00017139203492170374,0.0003121086664803524,0.00015975270412062363,0.0001715081081266778,0.00020725961672749555,0.0002634702114542739,0.00024394532471589057,0.0002165575896006611,0.00030235193546865547,0.00023296847999632747,0.0003441394445342569,0.000217328802630258,0.0001842999547574132,0.0003575405081754666,0.0001963469424407962,0.00011627305563904527,0.00013324942842204908,0.00024599034003093903,0.0002075782187085655,0.0001501927565187768,0.00018143221468409063,0.00020097488965955702,0.00017435054638724148,4.523028622806677e-05,0.0001330145326964603,5.48994258757861e-05,0.00024410038354612365,0.00013105362897309622,0.0002569591035322838
OMC,3.0766845518022877e-19,0.00010432167163952731,0.00016379197559992332,0.00011436166911900779,0.00012051904068534713,9.532331417762414e-05,0.0002480278322969699,6.66433331802788e-05,0.00014764904542910614,0.0003187373287363294,0.00017394314094261635,0.00012821785163134934,0.00013397680642199383,0.00014877501320973162,0.00018124990433883914,0.00011559391247492796,8.646273227363024e-05,0.00015964052393858477,0.00014383272875408327,0.000189576606649302,0.00019880287300980397,0.00013156211360263804,4.8306948222508326e-05,7.048719803126708e-05,0.00010680384959960142,0.00013449907794704495,9.864268405800278e-05,5.632051989986963e-05,0.00011023998002035381,0.00015844777863768136,0.0001286294037760185,6.154677997994426e-05,0.00010870273953960737,0.00020905242863332546,0.00017323007795332364,2.568486928604861e-05,0.000129191778241721,0.00016755076911478107,0.00016091317016835648,0.00014198320128514332,0.00014743896603393487,0.0001195568080919058,0.0001725512818278373,9.222063216671163e-05,0.00012144398955815845,0.00013752288952716257,0.00014742305053482515,0.0001810392219353525,0.000145821310608212,0.0002340050882786371,0.0001390535479820212,0.00016093217218304755,0.00015126450819678136,0.00012484833582940773,0.0001915426845887569,0.00013318112312355056,9.15221402859821e-05,9.601299013354616e-05,0.00018778388829108887,0.00012627884218033866,0.00013091384287174326,0.00012680689812870198,0.00012179707302674235,8.73852697084705e-05,5.7028106911474184e-05,7.770996755394164e-05,6.704730034080836e-05,0.0001927970953421346,0.00012096710008006505,0.00023776975016004807
