asset,weight
BONDS,0.1
VOO,0.15
SMH,0.05
IWF,0.025
QQQ,0.025
WMG,5.824260334129083e-13
NXST,3.4473144195368997e-13
NFLX,2.2303695720994207e-11
CABO,1.8145979858861008e-13
TTD,0.030000000152611627
EA,2.6138299935996015e-12
OMC,3.8353346657580727e-13
NYT,1.082985743652968e-12
FOXA,1.3116124738462128e-12
CNK,1.059867241427753e-12
LYV,2.0520148805602106e-11
NVR,0.030000000234680888
BKNG,1.5936403029782107e-12
HRB,4.171975183176745e-13
TSLA,0.030000000201477917
HD,5.568744916388669e-13
WSM,9.312762420548162e-13
DPZ,7.954705492268679e-13
CVCO,2.435619929494958e-11
ULTA,1.5478746257667844e-11
CHWY,0.030000000156499874
DECK,2.3455226021037105e-11
LULU,1.5319723957510486e-11
CL,5.028700544911423e-13
GHC,1.6632762465127572e-12
KMB,3.1652897520274955e-13
CLX,3.1495363199598015e-13
LOPE,2.4803615834314403e-11
HCA,0.030000000428923004
WAT,0.030000000215498333
REGN,1.869278209028892e-12
IDXX,2.0600094459649617e-11
COR,1.7441587586581691e-12
WST,3.1170907692281526e-12
HALO,2.1792045976507516e-11
MEDP,2.4327222096296677e-11
CHE,2.0297388894148847e-12
ABBV,0.030000000475569177
LLY,0.030000000467737275
VRSK,0.030000000297959788
URI,1.551528481213103e-12
LII,1.2049783726177193e-12
POWL,3.0480593194913772e-12
GWW,1.3290721401946046e-12
WTS,0.030000000362612262
ITW,5.335656367435221e-13
WSO,4.0126867234089247e-13
PH,1.3296801161009928e-12
CSL,0.030000000372388404
NVDA,0.05249999781473505
DDOG,2.047145337018436e-11
KLAC,1.7675161937977387e-12
PLTR,2.959924231367308e-11
MANH,2.1653131119269388e-11
SNPS,0.03000000012185552
MPWR,0.030000000502612176
IDCC,0.030000002884281667
SONO,0.030000000101838037
AAPL,0.030000000298432337
FTNT,2.0867935914034746e-11
APPF,2.3047397598009956e-11
MSI,1.2774960950182007e-12
ADP,6.067280974677805e-13
LRCX,1.6831712619122105e-12
NTAP,7.451366952904473e-13
VST,0.04249999866588698
CEG,0.07499999587640543
AWR,5.072398989060471e-13
